name,size,price,currency
Pinot Noir “Francis masson”,75cl,28.00,EUR
Gamay de Savoie “les avocates”,75cl,28.00,EUR
Mondeuse “vieilles vignes”,75cl,34.00,EUR
Gamay de Savoie “Cuvée Authentique”,75cl,24.00,EUR
Crépy “Vieilles Vignes”,50cl,28.00,EUR
Crépy “Vieilles Vignes”,75cl,32.00,EUR
Marin “Clos de pont ”,75cl,29.00,EUR
Apremont “Cuvée authentique”,75cl,28.00,EUR
Blanc roussette “altesse Grande réserve”,75cl,32.00,EUR
Chignin bergeron “Entre lacs & sommets”,75cl,37.00,EUR
Petite arvine “LES rêves d’aïdan”,75cl,45.00,EUR
Pinot Noir (Domaine Rochebin),75cl,32.00,EUR
Hautes-côtes de nuits,75cl,48.00,EUR
Savigny-lès-beaunes,75cl,60.00,EUR
Beaune-grèves,75cl,120.00,EUR
Chardonnay “clos saint-germain”,75cl,32.00,EUR
Macon Lugny,75cl,30.00,EUR
Chablis georges deschamps,75cl,48.00,EUR
Pouilly-fuissé,75cl,60.00,EUR
Clos du château,75cl,80.00,EUR
Brouilly “réserve du château”,75cl,39.00,EUR
Beaujolais villages “séléné”,75cl,32.00,EUR
Chardonnay “séléné”,75cl,32.00,EUR
Blanc les fontanilles,75cl,30.00,EUR
Pic Saint-Loup,75cl,38.00,EUR
Aop faugères “sous les rocs”,75cl,40.00,EUR
Saint-Nicolas de bourgueil,75cl,30.00,EUR
Saumur Champigny “Cuvée de bruyn”,75cl,34.00,EUR
Chinon “Les maupas”,75cl,34.00,EUR
Côteaux du giennois,75cl,38.00,EUR
Côteaux du Layon “Château de la roulerie”,75cl,38.00,EUR
Pouilly Fumé “Cuvée les craies”,75cl,43.00,EUR
Sancerre “La perrière”,75cl,45.00,EUR
Blanc Lamotte robin Graves,75cl,34.00,EUR
Château Malbec,75cl,38.00,EUR
Pessac Leognan “Chateau coquillas”,50cl,40.00,EUR
Pessac Leognan “Chateau coquillas”,75cl,59.00,EUR
Margaux rive gauche,75cl,65.00,EUR
Côtes du rhône Villages,75cl,28.00,EUR
Beaumes de Venise,75cl,34.00,EUR
Vacqueyras “Sous les dentelles”,75cl,36.00,EUR
Crozes Hermitage “nobles rives”,75cl,43.00,EUR
Rasteau “domaine de pisan”,75cl,44.00,EUR
Chateauneuf-du-pape,75cl,75.00,EUR
Côte-rotie,75cl,95.00,EUR
Xuri,75cl,38.00,EUR
XVIII SaINT LUC,75cl,28.00,EUR
Kattalin,75cl,34.00,EUR
La Grande bastide,75cl,28.00,EUR
Côté aix,75cl,31.00,EUR
Terres de berne aoC,75cl,39.00,EUR
Carpe horam,75cl,30.00,EUR
Blanc pinot blanc,75cl,30.00,EUR
Arbois chardonnay “VIGNES de sobief”,75cl,38.00,EUR
